Designator,Footprint,Quantity,Value,LCSC Part #
"_6, _5, _4, _3, _2, ",,6,,
"12V, 5V, GND",TestPoint_THTPad_D4.0mm_Drill2.0mm,3,TestPoint,
"C1, C11, C17, C44",0603,4,1uF 16V,
C10,0805,1,220nF 25V,
"C12, C33, C34, C35, C41, C42, C65",0603,7,100nF 10V,
C13,0603,1,12pF 25V,
"C14, C45, C46, C47, C55",0805,5,22uF 25V,
"C15, C28, C31, C32, C5, C59, C64",0603,7,100nF 50V,
"C16, C18, C2, C20, C3, C6, C9",1210,7,47uF 25V,
"C19, C4",0603,2,4.7uF 25V,
"C21, C22, C36, C38, C40, C48, C69, C7, C70",0603,9,1uF 10V,
C23,CP_Radial_D10.0mm_P5.00mm,1,1500uF 6.3V,
C24,0603,1,1uF 35V,
C25,0603,1,2.2uF 6.3V,
"C26, C43, C49, C50, C51, C52, C53, C54, C67, C68",1206,10,100uF 10V,
"C27, C8",CP_Radial_D10.0mm_P5.00mm,2,2200uF 16V,
C29,0603,1,1nF 50V,
C30,0603,1,180pF,
"C37, C63",0805,2,10uF 10V,
C39,0603,1,100pF,
C56,0603,1,1uF 6.3V,
"C57, C58",1210,2,22uF 35V,
"C60, C61",1206,2,100nF 50V,
C62,CP_Radial_D10.0mm_P5.00mm,1,680uF 35V,
C66,0603,1,10uF 16V,
IC1,SON50P500X600X150-23N-D,1,TPS53319DQPT,
IC2,SON50P500X600X150-23N-D,1,TPS53318DQPT,
J1,Molex_Mini-Fit_Jr_5566-20A_2x10_P4.20mm_Vertical,1,39-38-1203,
J2,CONN_171826-4_TYCO_TYC,1,171826-4,
L1,L_10.4x10.4_H4.8,1,XAL1010-222MED,
L2,L_6.3x6.3_H3,1,XAL6060-103MEB,
L3,L_6.3x6.3_H3,1,XAL6060-472MEC,
R1,0603,1,150kΩ,
R10,1206,1,0Ω,
"R11, R2, R26, R32, R33, R4, R6",0603,7,0Ω,
"R12, R13, R14, R16, R20, R3, R7",0603,7,105kΩ,
R15,0603,1,9.53kΩ,
"R17, R23",1206,2,1MΩ,
R18,0603,1,80.6kΩ,
"R19, R5",0603,2,475kΩ,
"R21, R8",0603,2,10kΩ,
R22,0603,1,44.2kΩ,
R24,0603,1,105k Ω,
R25,0603,1,33 Ω,
R27,1206,1,3Ω,
R28,0805,1,1.87kΩ,
R29,0805,1,3Ω,
R31,0603,1,55kΩ,
R34,0603,1,22Ω,
R37,0603,1,100Ω,
R9,0603,1,71.5kΩ,
U1,D14,1,SN74LVC08ADR,
U2,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,1,LMR33640ADDAR,
U3,CSD25402Q3A,1,CSD25402Q3A,
U4,SO-8EP_DIO,1,AP7375Q-33SP-13,
U5,SOT-23-5,1,UCC27517A,
U6,SOT-23-6_Handsoldering,1,SN74LVC2G17DBVR,
