Designator,Mid X,Mid Y,Rotation,Layer
_6,68.58,-111.28,0.0,top
_5,68.58,-76.28,0.0,top
_4,103.565,-76.3,0.0,top
_3,138.64,-76.33,0.0,top
_2,251.66,-111.14,0.0,top
,68.58,-111.28,0.0,top
C1,204.55,-74.075,0.0,top
C10,223.566765,-61.369999,180.0,top
C11,219.76677,-73.457496,90.0,top
C12,221.241761,-73.457506,270.0,top
C13,218.291754,-73.457501,270.0,top
C14,229.072484,-63.067506,0.0,top
C15,229.027501,-61.342513,180.0,top
C16,224.16677,-58.795003,180.0,top
C17,191.8388,-89.1308,0.0,top
C18,196.81,-86.5,270.0,top
C19,194.2264,-88.2418,270.0,top
C2,211.927694,-74.48101,180.0,top
C20,199.450006,-90.575,180.0,top
C21,209.524588,-102.019547,225.0,bottom
C22,210.571107,-100.973034,225.0,bottom
C23,219.4499975387528,-98.42000504703364,45.0,top
C24,192.3468,-75.5672,0.0,bottom
C25,191.825,-84.5214,0.0,bottom
C26,223.03,-80.9012,270.0,top
C27,248.32500404703364,-81.92499312453924,225.0,top
C28,201.432704,-79.786,180.0,bottom
C29,203.88,-84.73,90.0,top
C3,211.93,-71.29,180.0,top
C30,204.475,-91.65,270.0,top
C31,218.990199,-88.230995,0.0,bottom
C32,189.098598,-96.116802,0.0,bottom
C33,191.66,-77.5,180.0,top
C34,185.03,-77.5,180.0,top
C35,189.7,-68.13,0.0,top
C36,211.594643,-99.931818,225.0,bottom
C37,244.24,-100.44,180.0,top
C38,212.65,-98.88,225.0,bottom
C39,191.22,-103.41,0.0,top
C4,211.427685,-76.80928,180.0,top
C40,213.682372,-97.847617,225.0,bottom
C41,218.8575,-62.14,0.0,top
C42,193.83,-111.61,180.0,bottom
C43,230.0404,-80.9012,270.0,top
C44,239.4,-86.04,0.0,bottom
C45,243.767694,-99.685831,225.0,bottom
C46,229.072501,-65.037502,0.0,top
C47,229.077489,-67.017514,0.0,top
C48,244.301784,-102.320896,180.0,top
C49,227.7036,-80.9012,270.0,top
C5,211.29,-84.389995,0.0,bottom
C50,225.3668,-80.9012,270.0,top
C51,210.54,-96.17,90.0,top
C52,205.929997,-96.179999,90.0,top
C53,212.860001,-96.170001,90.0,top
C54,208.23,-96.180002,90.0,top
C55,242.38,-101.07,45.0,bottom
C56,193.41,-73.65,270.0,top
C57,193.52,-63.48,0.0,bottom
C58,193.58,-67.05,0.0,bottom
C59,242.71,-86.04,0.0,bottom
C6,205.2975,-71.73,0.0,top
C60,250.0356,-104.672493,270.0,bottom
C61,104.867,-103.5275,270.0,bottom
C62,208.490001,-61.239999,90.0,top
C63,229.494401,-100.51,0.0,top
C64,197.4014,-98.0462,0.0,bottom
C65,193.41,-70.31,90.0,top
C66,236.29,-88.76,180.0,bottom
C67,230.47,-90.75,0.0,bottom
C68,230.48,-93.06,0.0,bottom
C69,231.06,-88.87,0.0,bottom
C7,229.52,-102.38,0.0,top
C70,231.04,-94.95,0.0,bottom
C8,244.111996,-93.144006,0.0,top
C9,219.141769,-58.787514,0.0,top
IC1,206.365201,-79.255999,90.0,top
IC2,193.624802,-94.166097,90.0,top
J1,221.700001,-109.049997,180.0,top
J2,199.08,-60.89,270.0,top
L1,216.052699,-86.356014,0.0,top
L2,227.5114,-71.670004,0.0,top
L3,200.899802,-99.141097,0.0,top
R1,201.397497,-75.8,180.0,bottom
R10,227.602,-101.272,0.0,bottom
R11,189.09,-97.57,0.0,bottom
R12,226.957497,-64.8738,0.0,bottom
R13,226.957494,-63.376999,180.0,bottom
R14,216.816766,-71.069998,270.0,top
R15,216.816764,-67.770007,270.0,top
R16,189.093802,-99.03,0.0,bottom
R17,102.547,-103.4925,270.0,bottom
R18,188.9432,-90.858,180.0,bottom
R19,188.9432,-89.393,0.0,bottom
R2,201.43,-82.72,180.0,bottom
R20,188.9432,-87.918,0.0,bottom
R21,188.64,-96.9032,0.0,top
R22,190.49,-99.33,270.0,top
R23,252.3606,-104.672493,270.0,bottom
R24,192.19,-107.9,270.0,bottom
R25,195.79,-105.34,180.0,bottom
R26,201.61,-93.49,0.0,bottom
R27,205.59,-88.86,180.0,top
R28,212.190199,-89.230996,270.0,bottom
R29,193.1,-101.717679,180.0,top
R3,201.43,-81.24,180.0,bottom
R31,226.957472,-61.902,0.0,bottom
R32,207.995094,-84.390006,180.0,bottom
R33,194.0486,-98.0462,180.0,bottom
R34,238.03,-90.27,0.0,bottom
R37,244.08,-89.14,90.0,bottom
R4,201.61,-91.984205,0.0,bottom
R5,201.397496,-74.325,0.0,bottom
R6,201.42,-84.18,0.0,bottom
R7,201.397498,-72.850001,0.0,bottom
R8,201.417498,-82.34,0.0,top
R9,202.41,-84.74,270.0,top
U1,188.059566,-72.7599,270.0,top
U2,220.666767,-66.770012,270.0,top
U3,237.5606,-93.84,180.0,bottom
U4,191.0768,-80.0376,90.0,bottom
U5,241.46,-88.89,90.0,bottom
U6,194.77,-108.48,90.0,bottom
